tv_show_name,user_id,tv_show_id,is_followed,is_favorited,nb_episodes_seen
Star Wars: Skeleton Crew,11519429,420600,1,0,3
Backrooms,11519429,420847,1,0,0
The Lovers (2023),11519429,421837,1,0,2
The Decameron,11519429,423618,1,0,5
28 Days Haunted,11519429,425144,1,0,6
History: The Interesting Bits,11519429,425393,1,0,8
Time Bandits,11519429,425453,1,0,10
My Encounter with Evil,11519429,425656,1,0,40
The Gentlemen,11519429,426845,1,0,8
I Hate Christmas,11519429,427195,1,0,12
Call My Agent - Italia,11519429,428322,1,0,6
Gunther's Millions,11519429,429230,1,0,4
Killer Coaster,11519429,430995,1,0,8
MH370: The Plane That Disappeared,11519429,431139,1,0,3
King of Collectibles: The Goldin Touch,11519429,433003,1,0,14
Small Fish,11519429,435072,1,0,0
Deli Boys,11519429,435662,1,0,10
The Bondsman,11519429,436695,1,0,8
How to Become a Cult Leader,11519429,436744,1,0,1
Gentlemen,11519429,437692,0,0,0
The Completely Made-Up Adventures of Dick Turpin,11519429,437929,1,0,8
Living for the Dead,11519429,438818,1,0,2
Devil May Cry (2025),11519429,440193,1,0,8
En Fin,11519429,441590,1,0,6
Too Much,11519429,443261,1,0,8
Murderbot,11519429,443396,1,0,4
A Man on the Inside,11519429,445646,1,0,8
Margo's Got Money Troubles,11519429,445651,1,0,5
Files of the Unexplained,11519429,447413,1,0,2
North of North,11519429,447569,1,0,8
The Studio (2025),11519429,448147,1,0,10
Star Wars: Tales of the Empire,11519429,448549,1,0,6
Star City,11519429,449146,1,0,0
The Paper (2025),11519429,449872,1,0,10
Real Men,11519429,450626,1,0,7
Something Very Bad Is Going to Happen,11519429,452277,1,0,8
Adolescence,11519429,452467,1,0,4
Secret Level,11519429,453280,1,0,15
Widow's Bay,11519429,454109,1,0,1
Whiskey on the Rocks,11519429,455129,1,0,6
Love is Blind: Italy,11519429,455526,1,0,10
Hitler's Secret Missions,11519429,457999,1,0,1
Alien: Earth,11519429,458912,1,0,8
True Haunting,11519429,468524,1,0,0
My 2 Cents,11519429,470108,1,0,8
The Dinosaurs,11519429,473613,1,0,4
This Is a Gardening Show,11519429,475659,1,0,6
